I,Ip,theta,theta_p,theta_pp,u_a
0.017433298,230.6574388,1.30E-07,0.007851983,193.1862739,1
0.021848089,224.6609641,8.33E-08,0.006175227,245.4405569,1
0.036368435,204.9089255,8.67E-08,0.004328894,413.9710273,1
0.017466173,230.6168295,5.62E-08,0.007336483,194.0326795,1
0.043717237,194.9106659,1.13E-07,0.003603326,499.0750454,1
0.049549558,186.8926825,5.76E-08,0.013342505,557.2399157,1
0.049676256,186.8007861,1.31E-07,0.003320938,567.8063056,1
0.025904846,219.1215532,1.07E-07,0.008271271,290.1508881,1
0.017090779,231.0835775,1.60E-07,0.012844128,184.7121046,1
0.021372547,225.3049929,2.79E-07,0.006590283,239.5988247,1
0.019745785,227.5167242,7.48E-08,0.006940682,220.5873066,1
0.053214302,181.9092064,2.35E-07,0.012667882,599.9644453,1
0.030311488,213.1465078,2.74E-07,0.005308891,343.4802941,1
0.039463246,200.6376802,1.81E-07,0.011567983,442.9522288,1
0.018301301,229.4176174,1.30E-07,0.01508869,196.5815972,1
0.051350904,184.383214,1.80E-07,0.020463122,571.4657271,1
0.040574591,199.1288218,2.51E-07,0.011065446,456.1794409,1
0.024498021,221.0011363,2.08E-07,0.012693715,269.9647928,1
0.033688496,208.5308104,2.05E-07,0.007609555,380.1936663,1
0.0261914,218.717303,4.87E-07,0.010031969,291.8430227,1
0.022022569,224.3100268,1.77E-07,0.020280115,234.6228679,1
0.017269046,230.8295265,5.77E-07,0.014258395,185.4748589,1
0.035314348,206.2603539,5.67E-07,0.014716686,392.4151572,1
0.036580428,204.4567354,5.17E-07,0.024675388,397.9101977,1
0.04610457,191.5223527,4.89E-07,0.020813345,510.8622057,1
0.035683266,205.6415285,3.93E-07,0.029218967,383.4704693,1
0.02315073,222.7419573,1.87E-07,0.024294297,243.9372146,1
0.043986274,194.4775263,6.72E-07,0.011922563,494.6035881,1
0.070572996,158.1465038,8.01E-07,0.029073188,784.5177083,1
0.057349802,176.1578658,2.99E-07,0.02778952,633.7381563,1
0.052706531,182.5181066,2.33E-07,0.022908232,584.8202917,1
0.070531742,158.3327902,6.64E-07,0.012889689,798.755938,1
0.051607867,184.1211599,5.82E-07,0.009549204,584.3402098,1
0.045067624,192.9210886,9.08E-07,0.022415586,497.4901675,1
0.055642634,178.4596826,6.46E-07,0.030549185,611.6124653,1
0.025949683,218.9930728,9.09E-07,0.016658814,283.0410747,1
0.067927614,161.7612893,1.10E-06,0.027386036,755.653639,1
0.060456594,171.9579586,1.09E-06,0.024128058,672.7666236,1
0.036115143,205.1910239,3.19E-07,0.012128588,403.9698316,1
0.042934,195.870415,4.57E-07,0.016847176,478.0350726,1
0.074397407,152.9516795,1.41E-06,0.027651064,829.7565065,1
0.054064009,180.7166878,6.54E-07,0.017119278,605.6816313,1
0.077492671,148.8656034,9.73E-07,0.011784436,879.7481154,1
0.058749624,174.1132838,1.08E-06,0.045072963,634.1111696,1
0.031081463,211.9093881,1.55E-06,0.02880629,330.9667268,1
0.025260082,219.8465598,9.05E-07,0.027265253,265.4747106,1
0.099010613,119.2448004,1.73E-06,0.052568233,1089.932647,1
0.049430073,186.9605867,1.82E-06,0.025126747,545.1539749,1
0.080001331,145.1116094,1.97E-06,0.053932112,870.2588274,1
0.063833928,167.27515,1.95E-06,0.034719842,701.9463685,1
0.10448597,111.7895256,1.42E-06,0.052760298,1152.674874,1
0.090595311,130.9025461,2.00E-06,0.027470952,1016.048886,1
0.046903996,190.3190067,6.75E-07,0.035124173,507.038491,1
0.035232703,206.1954603,2.22E-06,0.036610138,371.5738422,1
0.03308349,208.9253788,1.72E-06,0.06096805,324.7338748,1
0.068822505,160.2464367,1.01E-06,0.064275395,732.4009709,1
0.02747611,216.5926147,1.86E-06,0.056767035,264.1190817,1
0.044237489,193.6792503,2.32E-06,0.068670283,445.9014326,1
0.101335274,116.300599,2.26E-06,0.025156097,1141.565237,1
0.043280113,194.9710983,7.43E-07,0.070094359,433.6056937,1
0.116247408,95.93912149,1.30E-06,0.032772846,1305.994897,1
0.106460882,109.3605644,2.60E-06,0.020483054,1204.711356,1
0.106863797,108.3926328,1.53E-06,0.072646816,1161.919616,1
0.115253116,97.20329061,2.49E-06,0.04388909,1284.46391,1
0.031516265,211.1087711,3.32E-06,0.054762977,312.3660153,1
0.106595029,108.6759838,1.92E-06,0.082910662,1149.500462,1
0.056239721,177.6855619,1.37E-06,0.025735321,622.8497706,1
0.088841203,133.3273901,1.88E-06,0.022877316,1000.068622,1
0.050394875,185.2281749,1.77E-06,0.077237079,508.8674002,1
