I,Ip,theta,theta_p,theta_pp,u_a
0.012215668,237.7994846,3.98E-08,0.002981104,137.6590341,1
0.012695813,237.1445684,3.55E-08,0.003140776,143.0311784,1
0.011549242,238.7044246,4.66E-08,0.003264765,129.7433214,1
0.013815703,235.6204036,5.35E-08,0.003095012,155.9413413,1
0.011304203,239.0383962,5.04E-08,0.003215717,126.9721905,1
0.013679441,235.8038515,5.54E-08,0.003349837,154.1439054,1
0.015219394,233.7072607,5.52E-08,0.003376828,171.814829,1
0.013806626,235.6248304,7.21E-08,0.004081209,154.9404971,1
0.015035066,233.9533095,7.10E-08,0.003983879,169.1448685,1
0.016806835,231.5420649,6.71E-08,0.003896099,189.5839071,1
0.014956306,234.0574917,7.61E-08,0.004361455,167.8965909,1
0.013636952,235.8534621,8.95E-08,0.004373492,152.7250698,1
0.016103533,232.4865296,9.03E-08,0.005507475,180.0374407,1
0.014963593,234.0379725,9.66E-08,0.0055552,166.8951077,1
0.016476156,231.9757802,1.18E-07,0.005941408,183.9247325,1
0.018557087,229.143342,1.01E-07,0.005893995,207.8796229,1
0.015248855,233.6458363,1.17E-07,0.00602812,169.7430986,1
0.018190319,229.6336719,1.43E-07,0.007008236,202.6521831,1
0.019159361,228.3155546,1.50E-07,0.00687631,213.90728,1
0.019314666,228.1072801,1.51E-07,0.006485057,216.0475613,1
0.015891589,232.7650902,1.34E-07,0.006746729,176.4754097,1
0.017106912,231.1003924,1.38E-07,0.00802146,189.281736,1
0.020560626,226.4034291,1.74E-07,0.007442189,229.4946611,1
0.020718067,226.1836258,1.99E-07,0.008123091,230.6848017,1
0.02030439,226.7568816,1.84E-07,0.006866152,227.0739402,1
0.019213771,228.2360531,2.03E-07,0.007551843,213.9183797,1
0.019834536,227.3762454,2.28E-07,0.009385695,219.3843999,1
0.019566708,227.7453832,2.29E-07,0.00882135,216.8198573,1
0.018170855,229.6442296,2.16E-07,0.008990682,200.6262905,1
0.024032685,221.6514679,2.48E-07,0.010597058,266.523708,1
0.02254978,223.6885638,2.44E-07,0.008310831,251.5621696,1
0.021965324,224.461381,2.73E-07,0.011148407,242.2666251,1
0.025270861,219.9655561,2.74E-07,0.010641143,280.711396,1
0.022396797,223.8843061,3.06E-07,0.009867563,248.3890426,1
0.021416086,225.2048373,3.07E-07,0.011674908,235.4767488,1
0.021050497,225.7027137,3.08E-07,0.011651138,231.2974041,1
0.026299853,218.5565891,2.97E-07,0.011657916,291.6111172,1
0.025676734,219.4162968,3.83E-07,0.010234951,285.7445202,1
0.021055233,225.7021928,3.73E-07,0.010914169,232.0217924,1
0.027239388,217.2643637,3.44E-07,0.013301495,300.9130579,1
0.027989378,216.2331265,4.34E-07,0.014577199,308.3714011,1
0.023302444,222.6204685,4.30E-07,0.013717802,255.2955389,1
0.026668599,218.0336307,4.75E-07,0.014266698,293.4767194,1
0.027708316,216.6128553,5.00E-07,0.014936338,304.8152506,1
0.027444408,216.9865177,4.69E-07,0.013145724,303.4105343,1
0.02866095,215.3341782,4.78E-07,0.012677115,317.8157223,1
0.028428732,215.6336701,4.77E-07,0.014745626,313.2668573,1
0.027802559,216.4744971,5.15E-07,0.016187841,304.7604589,1
0.028047188,216.1478819,5.74E-07,0.01539132,308.2955842,1
0.031817759,211.0075195,5.86E-07,0.016311314,350.7865094,1
0.030814743,212.3902374,6.01E-07,0.014161087,341.2156985,1
0.027809288,216.4472978,5.82E-07,0.018431245,302.7983268,1
0.027826391,216.4245444,6.64E-07,0.018365545,303.054574,1
0.029843647,213.685146,7.18E-07,0.017527356,326.9966759,1
0.026686911,217.9876205,6.10E-07,0.01688847,291.3037185,1
0.033199151,209.1151847,7.65E-07,0.017780498,365.324342,1
0.032936454,209.4824913,7.55E-07,0.016575328,363.4013183,1
0.034291461,207.6194882,8.21E-07,0.018863799,376.8911507,1
0.02667093,217.9745005,6.64E-07,0.021225917,287.1769401,1
0.032049351,210.6403219,8.77E-07,0.022769263,347.5768457,1
0.035688369,205.6998578,6.99E-07,0.021100739,390.9093167,1
0.03161676,211.2631761,7.95E-07,0.018545899,346.4454097,1
0.028269553,215.7745439,7.42E-07,0.024175116,302.8654856,1
0.035084941,206.514855,7.81E-07,0.021904538,383.244656,1
