I,Ip,theta,theta_p,theta_pp,u_a
0.042704386,195.9481546,3.03E-06,0.046053336,448.8455523,1
0.042945198,195.6158816,3.09E-06,0.046606809,451.1095418,1
0.043185602,195.2841421,3.15E-06,0.047163062,453.3663112,1
0.043425597,194.9529354,3.21E-06,0.047722087,455.6158761,1
0.043665186,194.6222606,3.27E-06,0.048283874,457.8582523,1
0.043904368,194.2921169,3.33E-06,0.048848415,460.0934551,1
0.044143145,193.9625035,3.39E-06,0.049415701,462.3215001,1
0.044381516,193.6334196,3.45E-06,0.049985723,464.5424027,1
0.044619483,193.3048643,3.51E-06,0.050558473,466.7561786,1
0.044857047,192.9768368,3.57E-06,0.051133941,468.9628429,1
0.045094207,192.6493364,3.63E-06,0.051712118,471.1624113,1
0.045330964,192.3223622,3.70E-06,0.052292997,473.354899,1
0.04556732,191.9959134,3.76E-06,0.052876568,475.5403213,1
0.045803274,191.6699892,3.83E-06,0.053462823,477.7186936,1
0.046038828,191.3445888,3.90E-06,0.054051754,479.8900312,1
0.046273982,191.0197114,3.96E-06,0.05464335,482.0543494,1
0.046508737,190.6953561,4.03E-06,0.055237604,484.2116632,1
0.046743093,190.3715222,4.10E-06,0.055834508,486.3619881,1
0.046977051,190.0482089,4.17E-06,0.056434052,488.505339,1
0.047210612,189.7254154,4.24E-06,0.057036228,490.6417312,1
0.047443776,189.4031408,4.31E-06,0.057641028,492.7711797,1
0.047676544,189.0813844,4.38E-06,0.058248442,494.8936998,1
0.047908916,188.7601453,4.45E-06,0.058858464,497.0093063,1
0.048140894,188.4394228,4.52E-06,0.059471083,499.1180144,1
0.048372477,188.1192161,4.60E-06,0.060086291,501.219839,1
0.048603667,187.7995244,4.67E-06,0.060704081,503.3147951,1
0.048834464,187.4803468,4.75E-06,0.061324443,505.4028977,1
0.049064869,187.1616827,4.82E-06,0.061947369,507.4841617,1
0.049294882,186.8435311,4.90E-06,0.062572851,509.558602,1
0.049524504,186.5258914,4.98E-06,0.06320088,511.6262333,1
0.049753736,186.2087627,5.05E-06,0.063831449,513.6870707,1
0.049982578,185.8921442,5.13E-06,0.064464548,515.7411288,1
0.050211031,185.5760351,5.21E-06,0.065100169,517.7884224,1
0.050439096,185.2604347,5.29E-06,0.065738304,519.8289664,1
0.050666772,184.9453422,5.37E-06,0.066378945,521.8627753,1
0.050894061,184.6307568,5.46E-06,0.067022084,523.889864,1
0.051120964,184.3166777,5.54E-06,0.067667712,525.9102471,1
0.051347481,184.0031042,5.62E-06,0.06831582,527.9239391,1
0.051573612,183.6900354,5.71E-06,0.068966402,529.9309549,1
0.051799358,183.3774705,5.79E-06,0.069619448,531.9313088,1
0.052024721,183.0654089,5.88E-06,0.07027495,533.9250155,1
0.052249699,182.7538496,5.97E-06,0.070932901,535.9120896,1
0.052474295,182.442792,6.05E-06,0.071593291,537.8925454,1
0.052698509,182.1322353,6.14E-06,0.072256114,539.8663976,1
0.052922341,181.8221787,6.23E-06,0.07292136,541.8336604,1
0.053145792,181.5126214,6.32E-06,0.073589022,543.7943485,1
0.053368862,181.2035627,6.41E-06,0.074259091,545.7484761,1
0.053591553,180.8950017,6.50E-06,0.07493156,547.6960577,1
0.053813864,180.5869378,6.60E-06,0.075606421,549.6371075,1
0.054035797,180.2793701,6.69E-06,0.076283665,551.5716399,1
0.054257351,179.9722979,6.78E-06,0.076963284,553.4996691,1
0.054478529,179.6657204,6.88E-06,0.077645272,555.4212096,1
0.054699329,179.3596369,6.97E-06,0.078329618,557.3362753,1
0.054919754,179.0540465,7.07E-06,0.079016316,559.2448807,1
0.055139802,178.7489486,7.17E-06,0.079705358,561.1470398,1
0.055359476,178.4443424,7.27E-06,0.080396735,563.0427669,1
0.055578776,178.1402271,7.37E-06,0.08109044,564.9320759,1
0.055797701,177.8366019,7.47E-06,0.081786465,566.8149812,1
0.056016254,177.5334662,7.57E-06,0.082484803,568.6914966,1
0.056234434,177.2308191,7.67E-06,0.083185444,570.5616363,1
0.056452242,176.9286598,7.77E-06,0.083888382,572.4254143,1
0.056669679,176.6269877,7.88E-06,0.084593608,574.2828446,1
0.056886744,176.325802,7.98E-06,0.085301115,576.1339412,1
0.05710344,176.0251019,8.09E-06,0.086010895,577.9787179,1
0.057319766,175.7248867,8.19E-06,0.08672294,579.8171888,1
0.057535724,175.4251556,8.30E-06,0.087437242,581.6493677,1
0.057751313,175.1259079,8.41E-06,0.088153795,583.4752684,1
0.057966534,174.8271429,8.52E-06,0.088872589,585.2949049,1
0.058181387,174.5288597,8.63E-06,0.089593618,587.1082909,1
0.058395875,174.2310577,8.74E-06,0.090316873,588.9154402,1
0.058609996,173.9337361,8.85E-06,0.091042347,590.7163666,1
0.058823752,173.6368941,8.96E-06,0.091770033,592.5110838,1
0.059037143,173.3405311,9.07E-06,0.092499922,594.2996055,1
0.05925017,173.0446463,9.19E-06,0.093232007,596.0819454,1
0.059462833,172.7492389,9.30E-06,0.093966281,597.8581172,1
0.059675133,172.4543082,9.42E-06,0.094702736,599.6281345,1
0.059887071,172.1598534,9.54E-06,0.095441364,601.3920108,1
0.060098647,171.8658739,9.65E-06,0.096182157,603.1497599,1
0.060309861,171.5723689,9.77E-06,0.096925109,604.9013952,1
0.060520715,171.2793376,9.89E-06,0.097670212,606.6469302,1
0.060731208,170.9867794,1.00E-05,0.098417458,608.3863786,1
0.060941343,170.6946935,1.01E-05,0.09916684,610.1197537,1
0.061151118,170.4030791,1.03E-05,0.099918351,611.8470689,1
0.061360534,170.1119356,1.04E-05,0.100671982,613.5683379,1
0.061569593,169.8212622,1.05E-05,0.101427726,615.2835738,1
0.061778295,169.5310582,1.06E-05,0.102185577,616.9927902,1
0.06198664,169.2413228,1.08E-05,0.102945526,618.6960003,1
0.062194629,168.9520554,1.09E-05,0.103707566,620.3932176,1
0.062402262,168.6632552,1.10E-05,0.104471691,622.0844552,1
0.06260954,168.3749215,1.11E-05,0.105237892,623.7697265,1
0.062816464,168.0870535,1.13E-05,0.106006162,625.4490447,1
0.063023035,167.7996506,1.14E-05,0.106776494,627.1224231,1
0.063229252,167.512712,1.15E-05,0.107548881,628.7898749,1
0.063435116,167.226237,1.17E-05,0.108323315,630.4514131,1
0.063640629,166.9402249,1.18E-05,0.109099789,632.1070511,1
0.063845789,166.654675,1.19E-05,0.109878296,633.7568018,1
0.064050599,166.3695865,1.21E-05,0.110658828,635.4006785,1
0.064255059,166.0849588,1.22E-05,0.111441379,637.0386942,1
0.064459168,165.8007911,1.23E-05,0.112225941,638.6708619,1
0.064662929,165.5170828,1.25E-05,0.113012507,640.2971947,1
0.064866341,165.233833,1.26E-05,0.11380107,641.9177056,1
0.065069404,164.9510412,1.28E-05,0.114591622,643.5324075,1
0.06527212,164.6687065,1.29E-05,0.115384157,645.1413135,1
0.065474489,164.3868283,1.30E-05,0.116178667,646.7444364,1
0.065676512,164.1054059,1.32E-05,0.116975146,648.3417891,1
0.065878189,163.8244386,1.33E-05,0.117773586,649.9333846,1
0.06607952,163.5439256,1.35E-05,0.11857398,651.5192357,1
0.066280507,163.2638663,1.36E-05,0.119376321,653.0993552,1
0.06648115,162.98426,1.38E-05,0.120180602,654.6737559,1
0.066681449,162.7051059,1.39E-05,0.120986816,656.2424506,1
0.066881405,162.4264034,1.41E-05,0.121794956,657.8054522,1
0.067081018,162.1481517,1.42E-05,0.122605015,659.3627732,1
0.067280289,161.8703502,1.44E-05,0.123416986,660.9144265,1
0.067479219,161.5929982,1.45E-05,0.124230862,662.4604246,1
0.067677808,161.3160949,1.47E-05,0.125046636,664.0007804,1
0.067876057,161.0396397,1.48E-05,0.125864302,665.5355064,1
0.068073966,160.7636319,1.50E-05,0.126683851,667.0646152,1
0.068271536,160.4880707,1.51E-05,0.127505278,668.5881194,1
0.068468767,160.2129556,1.53E-05,0.128328576,670.1060316,1
0.06866566,159.9382857,1.55E-05,0.129153737,671.6183644,1
0.068862215,159.6640605,1.56E-05,0.129980755,673.1251302,1
0.069058433,159.3902792,1.58E-05,0.130809622,674.6263416,1
0.069254315,159.1169411,1.59E-05,0.131640333,676.122011,1
0.069449861,158.8440456,1.61E-05,0.13247288,677.6121509,1
0.069645072,158.571592,1.63E-05,0.133307257,679.0967737,1
0.069839948,158.2995795,1.64E-05,0.134143456,680.5758918,1
0.070034489,158.0280075,1.66E-05,0.134981471,682.0495176,1
